Office ID,"Office Name",Web Address,Main,Fax,"Mail Address 1","Mail City",Mail State,Mail Zip Code
45,"The Penland Company",,8036493232,,"897 Houndslake Drive","Aiken",SC,29803
60,"McKinney Realty",www.McKinneyRealtyOfAiken.com,8036488305,,"P.O. Box 361","Aiken",SC,29803
61,"Leading Edge Real Estate",www.augustahomestore.com,7068609431,,"5359 Magnolia Court","Evans",GA,30809
78,"Derrick Realty, Inc.",www.derrickrealty.com,8032754253,,"398 Lee St.","Johnston",SC,29832
86,"Carolina Real Estate Company",www.CarolinaHorseProperties.com,8036488611,,"333 Park Avenue, SW","Aiken",SC,29801
96,"Simms Appraisal Services",,7066500083,,"138 Davis Road, Suite E","Martinez",GA,30907
97,"Blanchard & Calhoun - Augusta",,7067247614,,"699 Broad Street, Suite 400","Augusta",GA,30901
100,"Harper Realty, Inc.",,8036485443,,"208 Park Avenue, SW","Aiken",SC,29801
110,"Kings Sport Realty",,8036480943,,"PO Box 5850","Aiken",SC,29804
142,"McNeill Appraisal Service",,8036417500,,"P.O. Box 942","Aiken",SC,29802
146,"Point South Realty Group",www.psrealtygroup.com,8033354423,,"207 Silver Bluff Road","Aiken",SC,29803
154,"Real Estate Valuation",,8036421922,,"106 Thomas Street","Aiken",SC,29804
167,"Meybohm, Realtors - Aiken DT",,8035027777,,"142 Laurens Street, NW","Aiken",SC,29801
168,"Meybohm, Realtors - Aiken SS",,8036497897,,"1070 Silver Bluff Road","Aiken",SC,29803
170,"Coldwell Banker United Realtors - DT",www.cbunited.com,8036488243,,"108 Laurens Street, NW","Aiken",SC,29801
171,"Southside Gallery Of Homes",,8036522255,,"172 Willow Oak Loop","Aiken",SC,29803
187,"Meybohm Realtors - N. Augusta",,8032795283,,"590 Martintown Road West","North Augusta",SC,29841
210,"Woodside - Aiken Realty LLC",www.Woodside-Aiken.com,8036430049,,"1419 Silver Bluff Road","Aiken",SC,29803
250,"Yarborough & Associates",,8036494779,,"P.O. Box 3352","Aiken",SC,29802
252,"Aiken Board Of Realtors",www.aikenmls.com,8036426044,,"1069 Silver Bluff Road","Aiken",SC,29803
255,"Keller Williams Realty Augusta Partners",,7068683782,,"3633 Wheeler Road","Augusta",GA,30909
261,"Reardon Realty",,8036419406,,"146 A Laurens Street SW,","Aiken",SC,29801
265,"Aiken Town And Country, Inc.",,8627811532,,"1075 Outaways Road","Aiken",SC,29803
266,"On Board Realty",,8036442993,,"135 Chesterfield Street","Aiken",SC,29801
269,"Front Gate Properties",www.frontgateaiken.com,0,,"120 B Laurens Street","Aiken",SC,29802
272,"CSRA Residential Appraisal",,8036485913,,"127 Westwood Drive","Aiken",SC,29803
275,"Better Homes and Gardens Real Estate",,7063647697,,"4210 Columbia Road, Bldg. 8","Martinez",GA,30907
281,"SDL Real Estate Mgmt. Services",,8037820891,,"60 Huntwick Court","Columbia",SC,29206
284,"Meybohm Commercial Properties",,8036499114,,"3519 Wheeler Rd","Augusta",GA,30909
289,"A.R.E.A.  Inc.",,8036446191,,"189 Crooked Creek Rd.","Aiken",SC,29805
290,"RE/MAX Tattersall Group",,0,,"133 Laurens Street NW","Aiken",SC,29801
298,"Appraisals By Post",,8036446968,,"P.O. Box 477","Aiken",SC,29802
301,"Carey And Associates, Inc.",,8036424058,,"262 Eastgate Drive #182","Aiken",SC,29803
302,"1st Choice Appraisals, Inc.",,0,,"889 Mack Street","Gaston",SC,29053
305,"Rivers Real Estate, llc",,8032662588,,"12923 Main Street","Williston",SC,29853
308,"Southern Realty of Barnwell",www.southernrealtyofbarnwellsc.com,8032595688,,"102 Main Street","Barnwell",SC,29812
309,"Shannon Rollings Real Estate, LLC",www.shannonr.com,4803935335,,"336 Georgia Avenue #204","North Augusta",SC,29841
310,"Sharon Puetz Real Estate & Appraisal Services, LLC",,8038191704,,"22 Foxcreek Drive","North Augusta",SC,29860
311,"I Save Realty",,8665155099,,"394 Decatur Drive","Summervill",SC,29483
313,"B.A.G. Appraisals, llc",,8032513111,,"PO BOX 5097","Columbia",SC,29250
316,"South Carolina Appraisal Services, Inc.",,8036438133,,"224 Bay Tree Court","Aiken",SC,29803
318,"Midstate Appraisal",,8644453237,,"PO BOX 233","Saluda",SC,29138
319,"Midland Square Development, Inc.",www.midlandsquaredevelopment.com,8036639110,,"543 Howlandville Road","Warrenville",SC,29851
321,"Dreamscape Realty, LLC",www.dreamscaperealtysc.com,8005173114,,"50 Midlothian Court, E","Aiken",SC,29803
322,"Edgefield Southern Realty, Inc.",,8036370065,,"307 Main Street","Edgefield",SC,29824
326,"Crowell & Co., Inc.",www.buildkeystone.com,7068556744,,"924 Stevens Creek Road","Augusta",GA,30907
327,"David Porter Realty, LLC",wwwDavidPorterRealty.com,8035844205,,"PO Box 116","Allendale",SC,29810
328,"Agape Realty and Investment, LLC",,0,,"946 Millbrook Ave","Aiken",SC,29803
329,"Encore Realty",,8036495999,,"2441 Wagener Road","Aiken",SC,29801
332,"Southern Prestige Properties",,8036170255,,"235 Pendleton Street NW","Aiken",SC,29801
